day,word,length,category,clue,blurb
51,CUTBACK,7,Surf,The turn that carves back toward the power,A cutback swings the surfer back toward the breaking part of the wave to stay in its power. It is the bread-and-butter turn you will see all day from the pier rail.
52,TROLLEY,7,History,How Angelenos reached HB before freeways,Pacific Electric Red Cars ran from LA to the HB pier. The trolley made this a beach-day town a century before the 405.
53,HARBOUR,7,Places,"HB's waterfront neighborhood, with a fancy U","Huntington Harbour, the only part of town that spells itself the British way. Five islands, endless docks."
54,SKIM,4,Beach,Board sport for the last inch of ocean,"Skimboarders sprint along the wet sand, drop their boards on the thin wash and glide into the shorebreak. HB's flat sand and punchy inside make it a natural playground."
55,DERRICK,7,History,The oil structures that once lined PCH,"Oil derricks covered HB's coastline for decades. A few working pumps still nod away behind fences around town, the last traces of the boom."
56,BLUFFS,6,Places,The high ground along PCH with the ten-mile view,"Bluff Top Park rides the low cliffs along PCH with views up and down the coast. At its north end, the sand below is Dog Beach, where the town's pups get their ocean time."
57,JETTY,5,Surf,Rock structure that shapes the waves near the river mouth,"The Santa Ana River jetties mark HB's southern surf boundary, and some of its most consistent waves."
58,DEAN,4,Culture,Jan's partner on the song that named the city,Jan and Dean's 1963 hit Surf City gave HB its nickname. Two girls for every boy.
59,PELICAN,7,Nature,Big-billed glider cruising past the lineup,"Brown pelicans nearly vanished when DDT thinned their eggshells, and spent decades on the endangered list before recovering in 2009. Today squadrons glide past the pier like it never happened."
60,JACKS,5,Icons,Surf shop holding down Main and PCH since 1957,"Jack Hokanson opened Jack's Surfboards at Main and PCH in 1957, one of California's first true surf shops. The family-run flagship still anchors the busiest corner in town."
61,GRUNION,7,Nature,Little silver fish that comes ashore by moonlight,"On summer nights after a full or new moon, grunion ride waves onto the wet sand to lay their eggs. Watching a run at Bolsa Chica State Beach is a classic late-night outing."
62,AIRSHOW,7,Events,Jets over the pier every fall,The Pacific Airshow draws some of the biggest crowds of the year to the waterfront each fall. The Thunderbirds and Snowbirds use the pier as their centerline.
63,BENSON,6,History,First women's champion crowned at the pier in 1959,Linda Benson won the women's title at the very first West Coast Surfing Championships at the pier in 1959. That contest grew up to become the US Open of Surfing.
64,FAME,4,Culture,"Surfing Walk of ___, on Main Street",The Surfing Walk of Fame at PCH and Main has honored surf legends since 1994. Check the sidewalk next time you cross.
65,DWIGHT,6,Eats,Beach stand slinging cheese strips since 1932,"Dwight Clapp opened the city's first beach concession in 1932. Nearly a century later, his stand's cheese strips are still a beach-day ritual."
66,TALBERT,7,Streets,Avenue named for an early HB family,"Tom Talbert, early county supervisor and HB pioneer. His name is on the avenue and half the old maps."
67,MEADOW,6,History,___lark: HB's former airport,"Meadowlark Airport operated until 1989. The runway is a neighborhood of homes now, but old-timers still remember planes coming in low over Warner."
68,MONARCH,7,Nature,Orange royalty wintering in a local grove,Monarch butterflies spend the winter clustered in the eucalyptus at Norma Brandel Gibbs Park. Volunteers restored the grove and planted milkweed to keep them coming back.
69,PERQS,5,Eats,"Main Street's oldest bar, live bands and all","Perqs has been pouring on Main Street since 1974, making it the oldest bar downtown. Blues great Walter Trout treated it as his home stage for years."
70,CRUISE,6,Events,___ of Lights: December in the harbour,The Cruise of Lights has toured Huntington Harbour's decorated waterfront homes at holiday time since 1962.
71,CORKY,5,Surf,First-name surf legend who made riding waves a paying job,"Corky Carroll is widely credited as the first surfer to go fully professional, winning more than 100 contests. His Huntington Beach surf school has put beginners on their first wave since 1996."
72,NEWLAND,7,History,HB's oldest house sits on this family's land,"The Newland House, built in 1898, is the oldest residence in HB, kept by the historical society at Beach and Adams."
73,WIEDER,6,Places,Bluff-top regional park named for a county trailblazer,Harriett Wieder was the first woman elected to the Orange County Board of Supervisors and a former HB mayor. The regional park on the bluff above Bolsa Chica carries her name.
74,SHUFFLE,7,Beach,The slide-step every HB wader should know,"Round stingrays love the warm shallows here, so lifeguards teach the stingray shuffle: slide your feet and the rays scoot away. One day in 2019 saw 176 people stung."
75,KANOA,5,Surf,HB-raised Olympian with back-to-back US Open wins,"Kanoa Igarashi grew up in Huntington Beach and won the US Open of Surfing at the pier two years running, 2017 and 2018. He took silver when surfing debuted at the Tokyo Olympics."
76,GUSHER,6,History,What Bolsa Chica No. 1 became in November 1920,"On November 6, 1920, the Bolsa Chica No. 1 well blew in at 1,742 barrels a day. The boom that followed more than tripled the town's population."
77,PASEA,5,Places,The hotel on the bluff at Pacific City,"The Pasea Hotel opened in 2016, a year after Pacific City next door. Best rooftop view of the pier in town."
78,OLIVE,5,Streets,Tree-named downtown avenue where surf history lives,Olive Avenue is one of downtown's original tree-named streets and home to the International Surfing Museum. Not bad for a block most visitors walk right past.
79,SANCHOS,7,Eats,Surf-style taco shack across PCH from the sand,Sancho's Tacos grew from backyard cookouts into a beloved taco stop right on PCH. Locals cross the highway barefoot for the tri-tip OG taco.
80,SHIPLEY,7,Nature,Central Park's nature center,"The Shipley Nature Center, 18 acres of restored habitat inside Central Park, volunteer-run and free."
81,GILBERT,7,Places,One of the five man-made islands in the Harbour,Gilbert Island is one of five man-made islands dredged into existence when Huntington Harbour construction began in 1963. Most homes there come with a boat dock out back.
82,BEAR,4,History,Golden PCH nightspot where Janis Joplin played,"The Golden Bear on PCH was Huntington Beach's legendary little music room, hosting Janis Joplin, Neil Young and Jackson Browne. It came down in 1986, and locals still miss it."
83,CORBINA,7,Nature,Wary summer surf fish that hunts in inches of water,"The California corbina prowls the wet sand in summer, rooting out sand crabs in water barely deep enough to cover its back. Surf anglers know how hard it is to fool."
84,SLATER,6,Streets,"An HB avenue, not the 11-time world champ","Slater Avenue crosses the whole city. No relation to Kelly, but tell your out-of-town friends whatever you want."
85,FREETH,6,History,Gave HB's first surfing demonstration in 1914,"George Freeth, 'the man who can walk on water,' demonstrated surfing at the pier's 1914 rededication. HB's surf story starts with him."
86,WORTHY,6,Places,Park named for the man who built the park system,"Worthy Park honors Norman Worthy, the parks director who assembled 626 acres of parkland across the city. For the man who built HB's park system, the name fits."
87,RUBYS,5,Eats,Red-roofed diner that capped the pier for 28 years,"From 1993 to 2021, the walk to the end of the pier finished at Ruby's, a shiny red-and-white diner over the waves. A burger and shake above the surf was a rite of passage."
88,DWYER,5,Schools,Middle school named for the woman who did every job in it,"Ethel Dwyer attended the original schoolhouse on the site, then spent her career there as teacher, librarian, nurse and dean. In the 1980s the school took her name."
89,AMIGOS,6,History,The friends who fought for the wetlands,Amigos de Bolsa Chica formed in 1976 to stop a marina and housing project planned for the wetlands. Their fight led the state to buy 880 acres and sparked one of the largest wetland restorations in Southern California.
90,FURUTA,6,History,Family farm at Historic Wintersburg,The Furuta family bought their Wintersburg farm in 1908 and built the bungalow that still stands in 1912. It is one of the last surviving pre-WWII Japanese American settlements in the country.
